ticker,entry_date,exit_date,days_held,entry_price,exit_price,return_pct,pnl,exit_reason
META,2025-02-18,2025-02-19,1,712.85,698.59,-2.0,-2000.0,stop_loss
NFLX,2025-02-18,2025-02-21,3,103.58,101.51,-2.0,-2000.0,stop_loss
XOM,2025-02-18,2025-03-03,13,105.76,103.65,-2.0,-2000.0,stop_loss
AVGO,2025-02-19,2025-02-20,1,225.85,221.33,-2.0,-2000.0,stop_loss
GS,2025-02-19,2025-02-20,1,651.36,638.33,-2.0,-2000.0,stop_loss
ORCL,2025-02-19,2025-02-20,1,179.07,175.49,-2.0,-2000.0,stop_loss
META,2025-02-20,2025-02-24,4,691.42,677.59,-2.0,-2000.0,stop_loss
PEP,2025-02-21,2025-02-27,6,146.29,143.37,-2.0,-2000.0,stop_loss
AVGO,2025-05-01,2025-05-08,7,195.43,205.21,5.0,5000.0,profit_target
COST,2025-05-01,2025-05-30,29,992.15,1041.76,5.0,5000.0,profit_target
GS,2025-05-01,2025-05-12,11,542.59,569.72,5.0,5000.0,profit_target
JPM,2025-05-01,2025-05-12,11,241.09,253.15,5.0,5000.0,profit_target
MSFT,2025-05-01,2025-05-12,11,421.26,442.32,5.0,5000.0,profit_target
NFLX,2025-05-01,2025-05-05,4,113.35,111.08,-2.0,-2000.0,stop_loss
NOW,2025-05-01,2025-05-12,11,191.59,201.17,5.0,5000.0,profit_target
TSLA,2025-05-01,2025-05-02,1,280.52,294.55,5.0,5000.0,profit_target
V,2025-05-01,2025-05-12,11,339.2,356.16,5.0,5000.0,profit_target
WMT,2025-05-01,2025-05-13,12,96.37,94.44,-2.0,-2000.0,stop_loss
BAC,2025-05-02,2025-05-12,10,40.17,42.17,5.0,5000.0,profit_target
CAT,2025-05-02,2025-05-12,10,320.21,336.23,5.0,5000.0,profit_target
CRM,2025-05-02,2025-05-06,4,272.34,266.89,-2.0,-2000.0,stop_loss
GOOGL,2025-05-02,2025-05-07,5,163.37,160.1,-2.0,-2000.0,stop_loss
HD,2025-05-02,2025-05-05,3,355.53,352.81,-0.77,-765.37,below_ma50
META,2025-05-02,2025-05-12,10,594.61,624.34,5.0,5000.0,profit_target
NVDA,2025-05-02,2025-05-06,4,114.47,112.18,-2.0,-2000.0,stop_loss
ORCL,2025-05-02,2025-05-06,4,149.23,146.25,-2.0,-2000.0,stop_loss
TSLA,2025-05-05,2025-05-06,1,280.26,274.65,-2.0,-2000.0,stop_loss
NFLX,2025-05-06,2025-05-12,6,113.77,111.49,-2.0,-2000.0,stop_loss
CRM,2025-05-07,2025-05-13,6,275.46,289.23,5.0,5000.0,profit_target
HD,2025-05-07,2025-05-13,6,353.81,371.5,5.0,5000.0,profit_target
NVDA,2025-05-07,2025-05-12,5,117.03,122.88,5.0,5000.0,profit_target
ORCL,2025-05-07,2025-05-12,5,147.89,155.28,5.0,5000.0,profit_target
TSLA,2025-05-07,2025-05-09,2,276.22,290.03,5.0,5000.0,profit_target
AMZN,2025-05-08,2025-05-12,4,192.08,201.68,5.0,5000.0,profit_target
AVGO,2025-05-09,2025-05-12,3,206.2,216.51,5.0,5000.0,profit_target
AAPL,2025-05-12,2025-05-19,7,209.96,205.76,-2.0,-2000.0,stop_loss
TSLA,2025-05-12,2025-05-13,1,318.38,334.3,5.0,5000.0,profit_target
AMZN,2025-05-13,2025-05-15,2,211.37,207.14,-2.0,-2000.0,stop_loss
AVGO,2025-05-13,2025-05-16,3,230.19,225.58,-2.0,-2000.0,stop_loss
BAC,2025-05-13,2025-05-21,8,43.31,42.44,-2.0,-2000.0,stop_loss
CAT,2025-05-13,2025-05-21,8,348.77,341.79,-2.0,-2000.0,stop_loss
GS,2025-05-13,2025-05-23,10,591.55,579.72,-2.0,-2000.0,stop_loss
JPM,2025-05-13,2025-05-23,10,256.84,251.7,-2.0,-2000.0,stop_loss
META,2025-05-13,2025-05-15,2,653.38,640.32,-2.0,-2000.0,stop_loss
MSFT,2025-05-13,2025-06-06,24,444.76,467.0,5.0,5000.0,profit_target
NFLX,2025-05-13,2025-05-16,3,113.84,119.54,5.0,5000.0,profit_target
NOW,2025-05-13,2025-05-20,7,207.34,203.2,-2.0,-2000.0,stop_loss
NVDA,2025-05-13,2025-05-21,8,129.9,136.39,5.0,5000.0,profit_target
ORCL,2025-05-13,2025-05-15,2,160.66,157.44,-2.0,-2000.0,stop_loss
V,2025-05-13,2025-06-11,29,353.35,371.02,5.0,5000.0,profit_target
XOM,2025-05-13,2025-05-14,1,105.11,104.17,-0.9,-895.31,below_ma50
CRM,2025-05-14,2025-05-21,7,287.84,282.09,-2.0,-2000.0,stop_loss
GOOGL,2025-05-14,2025-05-22,8,164.7,172.94,5.0,5000.0,profit_target
HD,2025-05-14,2025-05-22,8,363.62,356.35,-2.0,-2000.0,stop_loss
TSLA,2025-05-14,2025-05-15,1,347.68,340.73,-2.0,-2000.0,stop_loss
WMT,2025-05-14,2025-05-15,1,96.03,94.11,-2.0,-2000.0,stop_loss
XOM,2025-05-15,2025-05-16,1,105.23,104.85,-0.36,-359.18,below_ma50
AMZN,2025-05-16,2025-05-19,3,205.59,201.48,-2.0,-2000.0,stop_loss
META,2025-05-16,2025-05-23,7,637.76,625.0,-2.0,-2000.0,stop_loss
ORCL,2025-05-16,2025-05-21,5,158.9,155.72,-2.0,-2000.0,stop_loss
TSLA,2025-05-16,2025-05-19,3,349.98,342.98,-2.0,-2000.0,stop_loss
WMT,2025-05-16,2025-05-19,3,97.43,95.48,-2.0,-2000.0,stop_loss
AVGO,2025-05-19,2025-05-29,10,228.41,239.84,5.0,5000.0,profit_target
NFLX,2025-05-19,2025-06-05,17,119.16,125.12,5.0,5000.0,profit_target
AMZN,2025-05-20,2025-05-23,3,204.07,199.99,-2.0,-2000.0,stop_loss
TSLA,2025-05-20,2025-05-21,1,343.82,336.94,-2.0,-2000.0,stop_loss
WMT,2025-05-20,2025-05-22,2,96.99,95.05,-2.0,-2000.0,stop_loss
NOW,2025-05-21,2025-06-13,23,202.95,198.89,-2.0,-2000.0,stop_loss
BAC,2025-05-22,2025-05-23,1,42.36,41.51,-2.0,-2000.0,stop_loss
CAT,2025-05-22,2025-05-23,1,341.49,334.66,-2.0,-2000.0,stop_loss
CRM,2025-05-22,2025-05-23,1,280.6,274.98,-2.0,-2000.0,stop_loss
NVDA,2025-05-22,2025-05-23,1,132.8,130.14,-2.0,-2000.0,stop_loss
ORCL,2025-05-22,2025-05-29,7,155.75,163.53,5.0,5000.0,profit_target
TSLA,2025-05-22,2025-05-23,1,341.04,334.22,-2.0,-2000.0,stop_loss
GOOGL,2025-05-23,2025-06-10,18,167.79,176.18,5.0,5000.0,profit_target
HD,2025-05-23,2025-06-11,19,353.77,353.76,-0.0,-2.73,below_ma50
AMZN,2025-05-27,2025-05-30,3,206.02,201.9,-2.0,-2000.0,stop_loss
BAC,2025-05-27,2025-06-23,27,43.25,45.41,5.0,5000.0,profit_target
CAT,2025-05-27,2025-06-02,6,347.75,340.79,-2.0,-2000.0,stop_loss
CRM,2025-05-27,2025-05-29,2,274.43,268.94,-2.0,-2000.0,stop_loss
GS,2025-05-27,2025-05-29,2,603.23,591.17,-2.0,-2000.0,stop_loss
JPM,2025-05-27,2025-06-24,28,259.06,272.02,5.0,5000.0,profit_target
META,2025-05-27,2025-06-03,7,639.73,671.72,5.0,5000.0,profit_target
NVDA,2025-05-27,2025-05-29,2,135.47,142.24,5.0,5000.0,profit_target
TSLA,2025-05-27,2025-05-30,3,362.89,355.63,-2.0,-2000.0,stop_loss
AVGO,2025-05-30,2025-06-03,4,239.74,251.73,5.0,5000.0,profit_target
GS,2025-05-30,2025-06-16,17,591.2,620.75,5.0,5000.0,profit_target
NVDA,2025-05-30,2025-06-03,4,135.1,141.85,5.0,5000.0,profit_target
ORCL,2025-05-30,2025-06-06,7,163.89,172.08,5.0,5000.0,profit_target
WMT,2025-05-30,2025-06-10,11,97.9,95.94,-2.0,-2000.0,stop_loss
COST,2025-06-02,2025-06-05,3,1050.93,1029.92,-2.0,-2000.0,stop_loss
TSLA,2025-06-02,2025-06-04,2,342.69,335.84,-2.0,-2000.0,stop_loss
AVGO,2025-06-04,2025-06-06,2,258.57,253.4,-2.0,-2000.0,stop_loss
META,2025-06-04,2025-06-26,22,685.18,719.43,5.0,5000.0,profit_target
NVDA,2025-06-04,2025-06-05,1,141.89,139.05,-2.0,-2000.0,stop_loss
AMZN,2025-06-05,2025-06-11,6,207.91,218.31,5.0,5000.0,profit_target
NFLX,2025-06-06,2025-06-10,4,124.15,121.66,-2.0,-2000.0,stop_loss
NVDA,2025-06-06,2025-06-25,19,141.69,148.77,5.0,5000.0,profit_target
AVGO,2025-06-09,2025-06-12,3,241.93,254.03,5.0,5000.0,profit_target
CAT,2025-06-09,2025-06-26,17,354.24,371.95,5.0,5000.0,profit_target
CVX,2025-06-09,2025-06-17,8,135.1,141.86,5.0,5000.0,profit_target
MSFT,2025-06-09,2025-06-26,17,469.0,492.45,5.0,5000.0,profit_target
ORCL,2025-06-09,2025-06-12,3,175.39,184.16,5.0,5000.0,profit_target
LLY,2025-06-10,2025-06-17,7,801.52,785.49,-2.0,-2000.0,stop_loss
XOM,2025-06-10,2025-06-16,6,103.91,109.1,5.0,5000.0,profit_target
GOOGL,2025-06-11,2025-06-13,2,176.85,173.31,-2.0,-2000.0,stop_loss
NFLX,2025-06-11,2025-06-24,13,121.99,128.09,5.0,5000.0,profit_target
AMZN,2025-06-12,2025-06-20,8,213.24,208.98,-2.0,-2000.0,stop_loss
V,2025-06-12,2025-06-13,1,368.49,361.12,-2.0,-2000.0,stop_loss
AVGO,2025-06-13,2025-06-24,11,246.31,258.63,5.0,5000.0,profit_target
ORCL,2025-06-13,2025-06-16,3,213.08,208.82,-2.0,-2000.0,stop_loss
GOOGL,2025-06-16,2025-06-18,2,176.27,172.74,-2.0,-2000.0,stop_loss
GS,2025-06-17,2025-06-24,7,615.01,645.76,5.0,5000.0,profit_target
ORCL,2025-06-17,2025-06-23,6,206.11,201.99,-2.0,-2000.0,stop_loss
XOM,2025-06-17,2025-06-23,6,110.48,108.27,-2.0,-2000.0,stop_loss
CVX,2025-06-18,2025-06-24,6,142.23,139.39,-2.0,-2000.0,stop_loss
LLY,2025-06-18,2025-06-20,2,779.52,763.93,-2.0,-2000.0,stop_loss
AMZN,2025-06-23,2025-06-27,4,208.47,218.89,5.0,5000.0,profit_target
TSLA,2025-06-23,2025-06-24,1,348.68,341.71,-2.0,-2000.0,stop_loss
BAC,2025-06-24,2025-07-03,9,45.9,48.2,5.0,5000.0,profit_target
CRM,2025-06-24,2025-06-25,1,268.89,265.51,-1.26,-1257.5,below_ma50
GOOGL,2025-06-24,2025-06-27,3,166.3,174.61,5.0,5000.0,profit_target
ORCL,2025-06-24,2025-06-25,1,213.13,208.87,-2.0,-2000.0,stop_loss
XOM,2025-06-24,2025-07-08,14,104.99,110.24,5.0,5000.0,profit_target
AVGO,2025-06-25,2025-07-09,14,262.73,275.86,5.0,5000.0,profit_target
CVX,2025-06-25,2025-07-08,13,137.47,144.35,5.0,5000.0,profit_target
GS,2025-06-25,2025-06-30,5,659.55,692.52,5.0,5000.0,profit_target
JPM,2025-06-25,2025-07-23,28,277.39,291.26,5.0,5000.0,profit_target
LLY,2025-06-25,2025-06-27,2,786.73,771.0,-2.0,-2000.0,stop_loss
NFLX,2025-06-25,2025-06-30,5,127.53,133.9,5.0,5000.0,profit_target
CRM,2025-06-26,2025-07-02,6,268.47,266.95,-0.57,-565.14,below_ma50
NVDA,2025-06-26,2025-07-01,5,154.99,151.89,-2.0,-2000.0,stop_loss
ORCL,2025-06-26,2025-06-30,4,210.71,221.24,5.0,5000.0,profit_target
TSLA,2025-06-26,2025-06-27,1,325.78,319.26,-2.0,-2000.0,stop_loss
